product_index,title,color,colorCode,size,img,price,stock
1,Sporty Jacket,Red,#FF0000,XL,"https://source.unsplash.com/400x400/?SportyJacket,Red",25,200
1,Sporty Jacket,Red,#FF0000,M,"https://source.unsplash.com/400x400/?SportyJacket,Red",25,200
1,Sporty Jacket,Yellow,#FFFF00,M,"https://source.unsplash.com/400x400/?SportyJacket,Yellow",25,200
1,Sporty Jacket,Yellow,#FFFF00,S,"https://source.unsplash.com/400x400/?SportyJacket,Yellow",25,200
2,Cool T-Shirt,Blue,#0000FF,M,"https://source.unsplash.com/400x400/?CoolT-Shirt,Blue",35,200
2,Cool T-Shirt,Yellow,#FFFF00,L,"https://source.unsplash.com/400x400/?CoolT-Shirt,Yellow",35,200
2,Cool T-Shirt,Yellow,#FFFF00,L,"https://source.unsplash.com/400x400/?CoolT-Shirt,Yellow",35,200
2,Cool T-Shirt,Green,#00FF00,L,"https://source.unsplash.com/400x400/?CoolT-Shirt,Green",35,200
3,Cool T-Shirt,Blue,#0000FF,S,"https://source.unsplash.com/400x400/?CoolT-Shirt,Blue",40,50
3,Cool T-Shirt,Red,#FF0000,S,"https://source.unsplash.com/400x400/?CoolT-Shirt,Red",40,50
3,Cool T-Shirt,Yellow,#FFFF00,L,"https://source.unsplash.com/400x400/?CoolT-Shirt,Yellow",40,50
3,Cool T-Shirt,Blue,#0000FF,S,"https://source.unsplash.com/400x400/?CoolT-Shirt,Blue",40,50
4,Elegant Dress,Blue,#0000FF,S,"https://source.unsplash.com/400x400/?ElegantDress,Blue",40,50
4,Elegant Dress,Yellow,#FFFF00,XL,"https://source.unsplash.com/400x400/?ElegantDress,Yellow",40,50
4,Elegant Dress,Green,#00FF00,XL,"https://source.unsplash.com/400x400/?ElegantDress,Green",40,50
4,Elegant Dress,Green,#00FF00,L,"https://source.unsplash.com/400x400/?ElegantDress,Green",40,50
5,Sporty Jacket,Yellow,#FFFF00,L,"https://source.unsplash.com/400x400/?SportyJacket,Yellow",30,200
5,Sporty Jacket,Yellow,#FFFF00,M,"https://source.unsplash.com/400x400/?SportyJacket,Yellow",30,200
5,Sporty Jacket,Yellow,#FFFF00,XL,"https://source.unsplash.com/400x400/?SportyJacket,Yellow",30,200
5,Sporty Jacket,Red,#FF0000,S,"https://source.unsplash.com/400x400/?SportyJacket,Red",30,200
6,Cool T-Shirt,Yellow,#FFFF00,XL,"https://source.unsplash.com/400x400/?CoolT-Shirt,Yellow",30,150
6,Cool T-Shirt,Blue,#0000FF,L,"https://source.unsplash.com/400x400/?CoolT-Shirt,Blue",30,150
6,Cool T-Shirt,Green,#00FF00,M,"https://source.unsplash.com/400x400/?CoolT-Shirt,Green",30,150
6,Cool T-Shirt,Green,#00FF00,M,"https://source.unsplash.com/400x400/?CoolT-Shirt,Green",30,150
7,Casual Hoodie,Yellow,#FFFF00,L,"https://source.unsplash.com/400x400/?CasualHoodie,Yellow",25,150
7,Casual Hoodie,Green,#00FF00,L,"https://source.unsplash.com/400x400/?CasualHoodie,Green",25,150
7,Casual Hoodie,Blue,#0000FF,L,"https://source.unsplash.com/400x400/?CasualHoodie,Blue",25,150
7,Casual Hoodie,Blue,#0000FF,S,"https://source.unsplash.com/400x400/?CasualHoodie,Blue",25,150
8,Sporty Jacket,Yellow,#FFFF00,L,"https://source.unsplash.com/400x400/?SportyJacket,Yellow",30,100
8,Sporty Jacket,Green,#00FF00,M,"https://source.unsplash.com/400x400/?SportyJacket,Green",30,100
